# XviD 2pass stat file (core version 1.2.2)
# Please do not modify this file

b 4 0 1326 0 1610 287
p 2 0 166 1160 6958 668
b 4 0 1326 0 1592 310
b 4 0 1326 0 1876 296
p 2 0 173 1153 6214 658
b 4 0 1326 0 1404 314
b 4 0 1326 0 1332 297
p 2 0 182 1144 6779 651
b 4 0 1326 0 1582 308
b 4 0 1326 0 1794 313
p 2 0 189 1137 5822 657
b 4 0 1326 0 1569 304
b 4 0 1326 0 1756 320
p 2 0 192 1134 5629 646
b 4 0 1326 0 242 224
b 4 0 1326 0 1451 309
p 2 0 199 1127 5030 651
b 4 0 1326 0 1664 331
b 4 0 1326 0 1532 312
p 2 0 217 1109 4898 672
b 4 0 1326 0 997 292
b 4 0 1326 0 1598 318
p 2 3 209 1114 6472 661
b 4 0 1326 0 1373 324
b 4 0 1326 0 1233 328
p 2 0 199 1127 6143 670
b 4 0 1326 0 1651 318
b 4 0 1326 0 1577 296
p 2 0 200 1126 4792 667
b 4 0 1326 0 1678 319
b 4 0 1326 0 2084 315
p 2 0 199 1127 5157 648
b 4 0 1326 0 2203 324
b 4 0 1326 0 2042 295
p 2 0 192 1134 5097 641
b 4 0 1326 0 1805 337
b 4 0 1326 0 2035 315
p 2 0 204 1122 6199 674
b 4 0 1326 0 1853 316
b 4 0 1326 0 1974 312
p 2 0 190 1136 5607 651
b 4 0 1326 0 1502 308
b 4 0 1326 0 1523 300
p 2 0 190 1136 4989 647
b 4 0 1326 0 221 215
b 4 0 1326 0 198 193
p 2 0 195 1131 4960 666
b 4 0 1326 0 1572 308
b 4 0 1326 0 1399 290
p 2 0 181 1145 4447 656
b 4 0 1326 0 1717 334
b 4 0 1326 0 1242 297
p 2 0 188 1138 4888 649
b 4 0 1326 0 1533 307
b 4 0 1326 0 1819 319
p 2 0 191 1135 5665 640
b 4 0 1326 0 1508 306
b 4 0 1326 0 1421 287
p 2 0 184 1142 5041 641
b 4 0 1326 0 1839 316
b 4 0 1326 0 1848 299
p 2 0 179 1147 5154 623
b 4 0 1326 0 1557 319
b 4 0 1326 0 1984 334
p 2 0 188 1138 7416 650
b 4 0 1326 0 201 201
b 4 0 1326 0 2213 308
p 2 0 183 1143 6698 639
b 4 0 1326 0 1996 307
b 4 0 1326 0 2046 296
p 2 0 176 1150 7024 620
b 4 0 1326 0 2294 309
b 4 0 1326 0 2284 291
p 2 0 170 1156 7086 615
b 4 0 1326 0 165 163
b 4 0 1326 0 3127 288
p 2 1 158 1167 7469 600
b 4 0 1326 0 3288 252
b 4 0 1326 0 3343 249
p 2 0 152 1174 8327 558
b 4 0 1326 0 2844 234
b 4 0 1326 0 1917 207
p 2 0 163 1163 8738 561
b 4 0 1326 0 2250 217
b 4 0 1326 0 2331 210
p 2 1 149 1176 7580 554
b 4 0 1326 0 2238 235
b 4 0 1326 0 2074 224
p 2 1 123 1202 7291 528
b 4 0 1326 0 2115 245
b 4 0 1326 0 2026 229
p 2 3 125 1198 6767 552
b 4 0 1326 0 2015 237
b 4 0 1326 0 1906 237
p 2 3 128 1195 6954 567
b 4 0 1326 0 1838 265
b 4 0 1326 0 1949 261
p 2 0 137 1189 7556 587
b 4 0 1326 0 1608 247
b 4 0 1326 0 1506 226
p 2 0 140 1186 6959 597
b 4 0 1326 0 1496 253
b 4 0 1326 0 1129 237
p 2 0 142 1184 6584 612
b 4 0 1326 0 160 160
p 2 0 145 1181 5824 601
i 2 1326 0 0 31992 4143
b 4 0 1326 0 1548 289
b 4 0 1326 0 1369 291
p 2 0 258 1068 6893 683
b 4 0 1326 0 1385 293
b 4 0 1326 0 1240 293
p 2 0 220 1106 6775 703
b 4 0 1326 0 1264 251
b 4 0 1326 0 1341 265
p 2 2 157 1167 6041 647
b 4 0 1326 0 1288 291
b 4 0 1326 0 1432 286
p 2 0 167 1159 5717 651
b 4 0 1326 0 1236 275
b 4 0 1326 0 1271 276
p 2 0 165 1161 5186 645
b 4 0 1326 0 1309 289
b 4 0 1326 0 1427 303
p 2 0 179 1147 6404 658
b 4 0 1326 0 1236 273
b 4 0 1326 0 1605 281
p 2 0 174 1152 6166 645
b 4 0 1326 0 1535 274
b 4 0 1326 0 1442 289
p 2 0 173 1153 5138 644
b 4 0 1326 0 1264 274
b 4 0 1326 0 1604 273
p 2 0 173 1153 5578 658
b 4 0 1326 0 198 198
b 4 0 1326 0 1293 266
p 2 0 180 1146 5051 643
b 4 0 1326 0 1316 287
b 4 0 1326 0 962 281
p 2 0 171 1155 6074 625
b 4 0 1326 0 1109 299
b 4 0 1326 0 1051 275
p 2 0 174 1152 5698 633
b 4 0 1326 0 1085 278
b 4 0 1326 0 1266 273
p 2 0 182 1144 5070 633
b 4 0 1326 0 1621 299
b 4 0 1326 0 1487 286
p 2 0 176 1150 5056 626
b 4 0 1326 0 1463 284
b 4 0 1326 0 1481 285
p 2 0 174 1152 4834 630
b 4 0 1326 0 1418 297
b 4 0 1326 0 1749 295
p 2 0 185 1141 5894 650
b 4 0 1326 0 1736 312
b 4 0 1326 0 1732 297
p 2 0 176 1150 5963 637
b 4 0 1326 0 1826 297
b 4 0 1326 0 1962 301
p 2 0 180 1146 5929 636
b 4 0 1326 0 1773 320
b 4 0 1326 0 2170 310
p 2 0 187 1139 6732 656
b 4 0 1326 0 1903 309
b 4 0 1326 0 2200 297
p 2 0 179 1147 6396 647
b 4 0 1326 0 2909 315
b 4 0 1326 0 2504 307
p 2 0 172 1154 7943 633
b 4 0 1326 0 2881 289
b 4 0 1326 0 2888 274
p 2 0 164 1162 7852 619
b 4 0 1326 0 3529 262
b 4 0 1326 0 3521 262
p 2 0 158 1168 8168 609
b 4 0 1326 0 2563 256
b 4 0 1326 0 2690 225
p 2 0 142 1184 8479 547
b 4 0 1326 0 3422 270
b 4 0 1326 0 3373 243
p 2 0 136 1190 10140 565
b 4 0 1326 0 2963 288
b 4 0 1326 0 2548 267
p 2 0 136 1190 11081 608
b 4 0 1326 0 2288 282
b 4 0 1326 0 2187 276
p 2 2 139 1185 9376 652
b 4 0 1326 0 1958 304
b 4 0 1326 0 1644 311
p 2 1 150 1175 8540 674
b 4 0 1326 0 1621 308
b 4 0 1326 0 1802 285
p 2 0 155 1171 7711 648
b 4 0 1326 0 196 195
b 4 0 1326 0 184 181
p 2 0 166 1160 6770 642
b 4 0 1326 0 1795 329
b 4 0 1326 0 1425 288
p 2 0 178 1148 7789 671
b 4 0 1326 0 1793 308
b 4 0 1326 0 1778 302
p 2 0 182 1144 6890 660
b 4 0 1326 0 1574 292
b 4 0 1326 0 1614 282
p 2 1 185 1140 6371 659
b 4 0 1326 0 1629 311
b 4 0 1326 0 1623 298
p 2 0 187 1139 5450 651
b 4 0 1326 0 1044 306
b 4 0 1326 0 1127 301
p 2 1 202 1123 6277 692
b 4 0 1326 0 1457 322
b 4 0 1326 0 1356 303
p 2 0 203 1123 5104 661
b 4 0 1326 0 1292 306
b 4 0 1326 0 1462 308
p 2 0 200 1126 4435 666
b 4 0 1326 0 1323 321
b 4 0 1326 0 1759 304
p 2 0 202 1124 4558 667
b 4 0 1326 0 1959 311
b 4 0 1326 0 1727 328
p 2 2 204 1120 8097 755
b 4 0 1326 0 1901 312
b 4 0 1326 0 1900 300
p 2 0 204 1122 6246 671
b 4 0 1326 0 1518 305
b 4 0 1326 0 1900 315
p 2 0 203 1123 6281 663
b 4 0 1326 0 1686 314
b 4 0 1326 0 1804 306
p 2 0 195 1131 5532 652
b 4 0 1326 0 1773 312
b 4 0 1326 0 1665 294
p 2 0 195 1131 4896 643
b 4 0 1326 0 1161 325
b 4 0 1326 0 1581 325
p 2 0 194 1132 6411 664
b 4 0 1326 0 1200 277
b 4 0 1326 0 1324 281
p 2 0 193 1133 5538 652
b 4 0 1326 0 1451 312
b 4 0 1326 0 1492 291
p 2 0 192 1134 5162 659
b 4 0 1326 0 1547 309
b 4 0 1326 0 1567 293
p 2 1 189 1136 5165 654
b 4 0 1326 0 1670 314
b 4 0 1326 0 1626 310
p 2 0 191 1135 4881 647
b 4 0 1326 0 1690 329
b 4 0 1326 0 2168 357
p 2 1 188 1137 10055 764
b 4 0 1326 0 92 92
p 2 0 153 1173 1956 495
i 2 1326 0 0 33767 4169
b 4 0 1326 0 1759 316
b 4 0 1326 0 1698 312
p 2 0 269 1057 6934 682
b 4 0 1326 0 2004 330
b 4 0 1326 0 2150 320
p 2 0 230 1096 7420 703
b 4 0 1326 0 2291 283
b 4 0 1326 0 2570 285
p 2 0 157 1169 7034 595
b 4 0 1326 0 2766 303
b 4 0 1326 0 2696 285
p 2 0 160 1166 7054 589
b 4 0 1326 0 3570 263
b 4 0 1326 0 3167 264
p 2 2 144 1180 8367 573
b 4 0 1326 0 4129 267
b 4 0 1326 0 2376 209
p 2 0 161 1165 6796 520
b 4 0 1326 0 2160 206
b 4 0 1326 0 2516 228
p 2 1 140 1185 7996 535
b 4 0 1326 0 145 144
b 4 0 1326 0 131 131
p 2 0 124 1202 6800 518
b 4 0 1326 0 2180 236
b 4 0 1326 0 138 137
p 2 1 119 1206 7221 537
b 4 0 1326 0 1960 251
b 4 0 1326 0 1914 240
p 2 3 125 1198 7030 545
b 4 0 1326 0 1530 248
b 4 0 1326 0 1596 247
p 2 0 129 1197 6152 584
b 4 0 1326 0 1605 258
b 4 0 1326 0 1561 238
p 2 0 137 1189 5333 600
b 4 0 1326 0 1558 263
b 4 0 1326 0 1440 228
p 2 0 135 1191 5179 604
b 4 0 1326 0 1618 278
b 4 0 1326 0 1387 271
p 2 0 150 1176 5815 613
b 4 0 1326 0 1192 245
b 4 0 1326 0 1191 224
p 2 0 158 1168 5903 642
b 4 0 1326 0 1336 261
b 4 0 1326 0 1236 238
p 2 0 156 1170 5062 641
b 4 0 1326 0 1337 252
b 4 0 1326 0 1258 249
p 2 0 163 1163 5065 642
b 4 0 1326 0 1178 260
b 4 0 1326 0 1193 258
p 2 1 167 1158 4901 639
b 4 0 1326 0 1719 277
b 4 0 1326 0 169 166
p 2 0 171 1155 5439 643
b 4 0 1326 0 1535 277
b 4 0 1326 0 1331 262
p 2 0 169 1157 5547 648
b 4 0 1326 0 1943 290
b 4 0 1326 0 1804 272
p 2 0 171 1155 5512 640
b 4 0 1326 0 1766 260
b 4 0 1326 0 1768 253
p 2 0 170 1156 5632 631
b 4 0 1326 0 1723 281
b 4 0 1326 0 1404 252
p 2 0 174 1152 4956 649
b 4 0 1326 0 1289 296
b 4 0 1326 0 1312 283
p 2 0 183 1143 5276 644
b 4 0 1326 0 1422 286
b 4 0 1326 0 1706 282
p 2 0 183 1143 5518 632
b 4 0 1326 0 1168 290
b 4 0 1326 0 1150 285
p 2 0 178 1148 4969 634
b 4 0 1326 0 1196 290
b 4 0 1326 0 1436 273
p 2 0 179 1147 4844 630
b 4 0 1326 0 1434 304
b 4 0 1326 0 1830 310
p 2 0 181 1145 5565 640
b 4 0 1326 0 1325 284
b 4 0 1326 0 169 169
p 2 0 174 1152 5302 642
b 4 0 1326 0 1994 321
b 4 0 1326 0 1399 286
p 2 2 182 1142 6367 650
b 4 0 1326 0 1678 310
b 4 0 1326 0 1785 288
p 2 0 179 1147 5945 641
b 4 0 1326 0 1721 302
b 4 0 1326 0 1615 286
p 2 0 182 1144 5887 635
b 4 0 1326 0 1675 311
b 4 0 1326 0 1834 309
p 2 0 194 1132 7017 649
b 4 0 1326 0 1629 299
b 4 0 1326 0 2075 297
p 2 0 179 1147 6745 633
b 4 0 1326 0 2234 289
b 4 0 1326 0 2515 282
p 2 0 169 1157 7233 628
b 4 0 1326 0 2579 274
b 4 0 1326 0 2893 264
p 2 2 154 1170 7422 610
b 4 0 1326 0 3119 241
b 4 0 1326 0 3450 269
p 2 0 154 1172 8165 587
b 4 0 1326 0 2857 226
b 4 0 1326 0 2678 249
p 2 0 143 1183 7345 533
b 4 0 1326 0 3556 264
b 4 0 1326 0 130 130
p 2 0 134 1192 9710 557
b 4 0 1326 0 3247 285
